Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_longum_NCC2705,Clostridium_clostridioforme_CM201,Collinsella_tanakaei_YIT_12063,Escherichia_coli_str_K_12_substr_MG1655,Faecalibacterium_prausnitzii_L2_6,Haemophilus_parainfluenzae_T3T1,Megasphaera_elsdenii_DSM_20460,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Roseburia_intestinalis_L1_82,Shigella_flexneri_2002017
3OAR15M16,H2CO3D,AMAOTr,RBFSb,H2CO3D,3OAR15M16,EDTXS2,3HAD15M16,UAGPT3,DPCOAK,AIHDUDPMG,EDTXS2,ADK3,TDSK,GLUR,G3PAT180,3MOBS,3OAS60,IMPD,ZNabcpp
UDCPDPS,UDCPDPS,RBFSb,3OAS11M12,UDCPDPS,H2CO3D,UAAGDS,DAPE,CMPN,ADK3,DPCOAK,UAAGDS,G5SADs,3OAR4M6,RBFSb,EAR15M16x,EDTXS2,3OAR15M16,ZNabc,rtranscription
PGPP180,PPNDH,DPCOAK,DPCOAK,EX_26dap_M(e),PGPP180,PItex,AKP1,RBFK,SUCCt2r,SUCCt2r,DMATT,NACUP,GLUR,3OAS11M12,EDTXS2,UAAGDS,UDCPDPS,FE2abc,3OAS60
EX_26dap_M(e),MOAT3C,AHCYSNS_r,3HAD160,PPNDH,3OAR11M12,PRAIS,ASPCT,CBPS,EX_cgly(e),EX_cgly(e),KDOPSr,DAPE,RBFSb,DPCOAK,3HAD10M12,IGPS,PGPP180,UAAGDS,3OAR15M16
3OAR11M12,CA2tex,PYDXtex,TALA,MOAT3C,MOAT3C,DMATT,DHFR,UDCPDP,PPTT,EAR5M6,ALAALA,DMPPS,3OAS11M12,EAR5M6x,UAAGDS,PItex,3OAR11M12,PRAIS,OHPHM
PPNDH,DHPPDA,THRD_L,ACOTA,CA2tex,CA2tex,KDOPSr,3HAD11M12,ALAALA,DHFOR2,PPTT,TDPDRRr,CDPGLYCGPT,DPCOAK,APRAUR,ACBIPGT,DMATT,MOAT3C,DMATT,UDCPDPS
MOAT3C,pbiosynthesis,ACOTA,EAR5M6x,DHPPDA,HMBS,EX_meoh(e),SUCOAS,GLUR,EAR5M6x,ACOTA,EX_ca2(e),DHQS,AHCYSNS_r,CLPNS180,RZ5PP,KDOPSr,CA2tex,HSTPTr,PGPP180
CA2tex,UAG2EMA,G5SADs,APRAUR,pbiosynthesis,DHPPDA,HSTPTr,PPCDC,BPNT,OMPHHX3,DHFOR2,MECDPS,EX_pydx(e),PPTT,PNTO_Rtex,IGPS,HSTPTr,3HAD7M8,AMPTASECG,3OAR11M12
3HAD7M8,EAR140x,AOXSr2,3OAS100,EAR140x,3HAD7M8,CBPS,DXPRIr,EX_fe2(e),TECA3S180,OMPHHX3,PNTK,UAPGR,4HTHDS,ACCOACL,PItex,CBPS,pbiosynthesis,ALAALA,MOAT3C
pbiosynthesis,DHQTi,APRAUR,DAPE,DHQTi,pbiosynthesis,MOHMT,ORNDC,SDPDS,CLPNS180,THRAi,EX_so4(e),PAPPT3,EAR5M6x,PSDAI17,PRAIS,MOHMT,FE3tex,PRATPP,OPHBDC
UTPATPT,GALT1,3OAS100,CLPNS180,GALT1,DASYNI17,ALAALA,AICART,UACMAMAT,CDPGLYCGPT,TECA3S180,UAGCVT_r,SHKK,GTHS,CAt4ipp,DMATT,ALAALA,DASYNI17,UACMAMAT,CA2tex
FE3tex,3OAR120,DAPE,3HAD40,H2Stex,EAR140x,BTS4,UAG4E,PRPPS,biomass201,ORNDC,MOAT,PGPGT,OMPHHX3,DHQS,KDOPSr,TDPDRRr,DHQTi,ARGSS,HMBS
DASYNI17,SO4t2pp,3OAACPR2,3OAS80,3OAR120,DHQTi,TDPDRRr,EAR13M14,PPNCL3,IHDUDPMG,EX_asn_L(e),3OAR100,CA2abc,APRAUR,BTNCLi,HSTPTr,PRATPP,GALT1,EX_ca2(e),3HAD7M8
DHQTi,Cuabcpp,3HAD40,EX_pro_L(e),SO4t2pp,GALT1,PRATPP,2MBCOATA,TECAAE,PSDAI17,CLPNS180,EX_mg2(e),dreplication,3OAS100,IHPDCOATA,GTPCI,DPR,CLPNSAI17,IMPC,pbiosynthesis
GALT1,PTPAT,3OAS80,sink_gthrd(c),Cuabcpp,CLPNSAI17,DPR,3OAS6M8,UAMAS,TECA5SI17,CDPGLYCGPT,GMHEPPA,G1PACT,CLPNS180,G3PATAI17,CBPS,DB4PS,3OAR120,MECDPS,DASYNI17
CLPNSAI17,UMPK,XYLK,PSDAI17,PTPAT,3OAR120,DB4PS,CLPNS180,DPCOAK,DHQS,HXPRT,ZNabcpp,NAPRT,3HAD40,UAPGR,MOHMT,ARGSS,SO4t2pp,PNTK,DHQTi
SO4t2pp,DTMPK,GF6PTA,CAt4ipp,UMPK,SO4t2pp,ARGSS,EAR14M16x,ADK3,IHPDCOATA,IHDUDPMG,rtranscription,ZNabc,3OAS80,PAPPT3,ALAALA,EX_ca2(e),3OAR9M10,ADK10,GALT1
